Complexity,Fitness,Equation 0,Equation 1
2,0.9857704,0.00374,-0.318
4,0.89192045,0.000206,-0.396*x1
6,0.6423821,-0.312*x0*x1,-0.302
8,0.3034924,x0*(1.11 - 0.401*x1),-0.283
10,0.21141633,x0*(1.11 - 0.401*x1),-0.389*x1
12,0.16008423,x0*(1.11 - 0.401*x1),0.404*x0 - 0.404*x1
14,0.033840217,-0.39*x0*x1 + x0,x1*(0.0991*x0 - 0.397)
16,0.004944005,-0.401*x0*x1 + 1.11*x0,x1*(0.101*x0 - 0.403)
