Complexity,Loss,Equation
1,2516.8416,"624.26135"
3,716.7684,"(1131.2029 * X)"
5,1.9445381,"(363.25577 * (X ^ 1.5043888))"
7,1.590074,"((362.7901 * (X ^ 1.5049005)) - -1.510189)"
9,1.0436426,"((364.59097 - (-0.276208 * X)) * (X ^ 1.499571))"
11,0.7947502,"((((367.38858 + X) * (X ^ 1.4877506)) + -2.9032958) + X)"
13,0.72994995,"(((((367.37863 - -0.059624806) + X) * (X ^ 1.4880856)) + -1.5484058) - 1.415174)"
15,0.53364563,"(((367.37863 + X) * (X ^ 1.4880856)) - ((0.8705538 / (X * 0.23473564)) ^ X))"
17,0.38865533,"(((367.37863 + (X * 0.99530166)) * (X ^ 1.4880856)) - ((0.8705538 / (X * 0.23473564)) ^ X))"
19,0.36604944,"((((367.37863 + -0.044226684) + X) * (X ^ 1.4880856)) - ((0.4860662 ^ (X + -2.5278616)) ^ (X ^ X)))"
