Complexity,Loss,Equation
1,2516.8416,"525.37756"
3,716.7928,"(1130.985 * X)"
5,1.976504,"(362.57986 / (X ^ -1.5052193))"
7,1.4919891,"((362.35638 * (X ^ 1.5054148)) - -1.8918372)"
9,1.250473,"(((360.40182 * (X ^ 1.5074013)) + X) + 2.620181)"
11,0.988739,"((362.35873 * (X ^ 1.5055406)) - (X / (X - 1.86492)))"
13,0.831618,"((362.35873 * (X ^ 1.5055406)) - (X / ((X ^ 0.8432563) + -1.8569379)))"
15,0.5670471,"((362.41272 * (X ^ 1.5051515)) - (((2.143064 / (-3.0509892 + X)) * X) - X))"
17,0.48592377,"(((362.36533 - -0.043549534) * (X ^ 1.505482)) + (X / (((X ^ 1.5054148) / -1.7079201) + X)))"
19,0.45446014,"(((362.35873 * (X ^ 1.5055406)) - (X - 1.2918361)) - (((2.0211215 / (-2.929609 + X)) * X) - X))"
