Complexity,Loss,Equation
1,2516.8416,"641.92566"
3,716.8768,"(1130.2357 * X)"
5,2.108715,"((X ^ 1.5050218) / 0.002757089)"
7,1.5826658,"(((X ^ 1.5050218) / 0.0027572694) + 1.7106819)"
9,1.5825806,"((((X ^ 1.5050218) / 0.0027572694) + 0.8189434) - -0.8717554)"
11,0.8841807,"((((X ^ 1.494792) / 0.0027367673) + (X ^ 2.2959833)) - X)"
13,0.803304,"(((((X ^ 1.494792) / 0.0027367673) + (X ^ 2.2959833)) - X) - 0.48866025)"
15,0.62897235,"(((((X ^ 1.4947912) / 0.0027367673) - (X ^ 0.89979416)) + (X ^ 2.2959833)) - 0.28388518)"
17,0.59027606,"(((((X ^ 1.4947912) / 0.0027367673) - ((X + 0.21457109) ^ 0.89979416)) + (X ^ 2.2959833)) - 0.28388518)"
19,0.54412335,"((((X ^ 1.4947912) / 0.0027367673) - (((X + (0.21457109 ^ X)) ^ 0.89979416) / 0.9452826)) + (X ^ 2.2959833))"
