Complexity,Loss,Equation
1,2516.8416,"517.7096"
3,716.7841,"(1131.0623 * X)"
5,1.9368693,"(363.22116 * (X ^ 1.5044346))"
7,1.5780131,"((362.62875 * (X ^ 1.5050784)) + 1.7368543)"
9,1.4182116,"(((362.62875 - 0.6682777) * (X ^ 1.5058866)) + 2.2266698)"
11,1.0172094,"((362.86166 + ((2.1005 / X) ^ X)) * (X ^ 1.5048662))"
13,0.5838267,"(((363.53934 * (X ^ 2.4961925)) / X) + ((X ^ 2.3029113) + X))"
15,0.28082275,"((((363.53934 * (X ^ 2.4961925)) + -0.5117375) / X) + ((X ^ 2.3029113) + X))"
17,0.2595787,"(((((363.53934 * (X ^ 2.4961925)) + -0.5117375) / X) + ((X ^ 2.3029113) + X)) + 0.18948793)"
