Complexity,Loss,Equation
1,2516.8416,"577.12164"
3,716.88495,"(1130.1631 * X)"
5,1.9797148,"(364.16187 * (X ^ 1.5032864))"
7,1.3997244,"((361.87137 * (X ^ 1.5059935)) - -2.285772)"
9,0.8837064,"(((367.09628 + X) * (X ^ 1.4884973)) + -2.983727)"
11,0.43792725,"((364.16187 + ((1.5067605 + -1.0742068) * X)) * (X ^ 1.4982973))"
13,0.43050894,"(((364.16168 + ((1.5067605 + -1.0742068) * X)) * (X ^ 1.4982973)) + 0.075196)"
15,0.37428537,"((364.16168 + (((1.5067605 + -1.0742068) * X) + (0.41674277 ^ X))) * (X ^ 1.4982973))"
17,0.31100973,"((364.16168 + (((1.5067605 + -1.0742068) * X) + ((0.6868137 ^ X) ^ X))) * (X ^ 1.4982973))"
19,0.289814,"((364.16168 + (((1.5067605 + -1.0742068) * X) + (((0.6868137 ^ 0.6529888) ^ X) ^ X))) * (X ^ 1.4982973))"
