Complexity,Loss,Equation
1,2516.8416,"370.53973"
3,716.7684,"(1131.2018 * X)"
5,25.796923,"((X ^ 1.5276238) / 0.002905864)"
7,2.2694893,"(((X ^ 1.5061924) / 0.23181283) / 0.011925938)"
9,1.3691584,"((((X ^ 1.5061924) / 0.23181283) / 0.011926386) - -2.3561108)"
11,1.3690897,"(((((X ^ 1.5061924) / 0.23181283) / 0.011926386) + 1.1645606) + 1.1645606)"
13,1.0382551,"((((X ^ 1.5061924) / 0.23181283) / 0.011925938) + (2.057307 / (2.057307 - X)))"
15,0.77194214,"(((((X ^ 1.5061924) / 0.23181283) / 0.011925938) + (2.057307 / (2.057307 - X))) + 0.7249531)"
17,0.5694847,"(((((X ^ 1.5061275) / 0.23181283) / 0.011930564) - ((X + X) / (-2.3577085 + X))) + X)"
19,0.5289459,"(((((X ^ 1.5061275) / 0.23181283) / 0.011930564) - ((X + X) / (-2.3577085 + X))) + (X * 1.1105175))"
