Complexity,Loss,Equation
1,2516.8416,"530.9732"
3,716.77124,"(1131.1765 * X)"
5,1.9393629,"(363.17017 * (X ^ 1.5044972))"
7,1.2993851,"((361.30438 * (X ^ 1.5066813)) - -2.4895003)"
9,1.299324,"(((361.30438 * (X ^ 1.5066813)) - -2.4895003) + 0.08027359)"
11,0.87952167,"((361.30402 * (X ^ 1.5067697)) + (1.5067697 / (1.7912849 - X)))"
13,0.723835,"(((361.30402 * (X ^ 1.5067697)) + (1.5067697 / (1.7912849 - X))) - -0.46712682)"
15,0.23016739,"((361.30453 * (X ^ 1.5067697)) - ((X / (-0.25799966 * (X ^ X))) * X))"
17,0.19302242,"(((361.30453 * (X ^ 1.5067697)) + 0.22340348) - ((X / (-0.25799966 * (X ^ X))) * X))"
19,0.14456558,"(((361.304 * (X ^ 1.5067697)) + 0.07910236) - ((X / (-0.25799966 * (X ^ (X + -0.118699975)))) * X))"
