Complexity,Fitness,Equation 0
1,0.91763484,667.
3,0.26543477,1.03e+3*X
5,0.019616611,411.0*X**1.45
7,0.0008271183,364.0*X**1.5
9,0.0006932222,361.0*X**1.51 + 1.5
