Complexity,Fitness,Equation 0
1,0.91763484,366.
3,0.2688635,947.0*X
5,0.0107436385,365.0*X**1.51
7,0.0007490492,362.0*X**1.51
9,0.0006602976,362.0*X**1.51 + 1.03
