Complexity,Fitness,Equation 0
1,0.91763484,593.
3,0.26232234,1.11e+3*X
5,0.0029331602,357.0*X**1.51
7,0.0026589753,357.0*X**1.51 + 0.752
9,0.0011378622,363.0*X**1.5
11,0.0009447307,363.0*X**1.5
