Complexity,Loss,Equation
1,2.7275,"X"
3,1.0062988,"(1.6363946 ^ X)"
5,0.17431635,"((1.9194596 ^ X) / 2.6022162)"
7,0.07267939,"(((2.0014634 ^ X) / 3.4182172) - -0.4144274)"
9,0.07244336,"(((1.9974811 ^ X) / 3.3761106) + (0.5340801 ^ 1.4379504))"
11,0.053813096,"((((2.0014634 - (0.056174915 ^ X)) ^ X) / 3.4181643) - -0.4144274)"
13,0.050251506,"(((2.00123 ^ X) / (3.4182172 + ((0.05367229 ^ X) * X))) + 0.42522174)"
15,0.050047234,"(((2.00123 ^ X) / (3.4182172 + ((0.07784076 ^ (X * 1.1061437)) * X))) + 0.42522174)"
17,0.04985612,"(((2.00123 ^ X) / (3.4182172 + (((0.07784076 ^ (X * 1.1061437)) / 0.9738462) * X))) + 0.42522174)"
19,0.043665774,"(((2.00123 ^ X) / (3.4187107 + ((((0.11072266 * 0.11072266) ^ X) / (2.00123 - X)) * X))) + 0.42522174)"
