Complexity,Loss,Equation
1,2.7275,"X"
3,1.0067186,"(1.6357311 ^ X)"
5,0.17502126,"(1.9081867 ^ (X - 1.4272231))"
7,0.072589956,"((1.9941483 ^ (X - 1.7476221)) - -0.39708647)"
11,0.072589815,"(((1.9941483 ^ (X - 1.7476221)) + (0.024180733 * 0.0062038116)) - -0.3969511)"
13,0.058532894,"((1.9898986 ^ (X - 1.732653)) + (0.37416902 + (0.056984168 * (-0.3969511 ^ X))))"
15,0.052434087,"((1.9898986 ^ (X - 1.732653)) + (0.37416902 + (0.056984168 / ((1.732653 ^ X) + X))))"
17,0.0516917,"((1.9898986 ^ (X - 1.732653)) + (0.37416902 + (0.056984168 / (((X + X) * 1.2330072) ^ X))))"
19,0.050608166,"((1.9898986 ^ (X - 1.732653)) + (0.37416902 + (0.056984168 / (((X + (X / 0.44244626)) ^ X) / 0.72382647))))"
