Complexity,Loss,Equation
1,2.7275,"X"
3,1.0062735,"(1.6364341 ^ X)"
5,0.17402354,"(1.9086319 ^ (X - 1.4275234))"
7,0.07203788,"((1.9973292 ^ (X - 1.758259)) + 0.40831038)"
9,0.07201753,"((1.9973292 ^ (X - 1.758259)) - (1.758259 * -0.23217122))"
11,0.056420207,"(((2.1305487 ^ (X - 2.1898117)) + 0.46995926) - (-0.14851557 * X))"
13,0.05363895,"(((2.1305487 ^ (X - 2.1898117)) + 0.4545967) - ((-0.14851557 / 0.9691872) * X))"
15,0.05340152,"(((2.1305487 ^ (X - 2.1898117)) + 0.4545967) - (((-0.14851557 - 1.1511505) * 0.11736894) * X))"
17,0.04856378,"(((1.9973292 ^ (X - 1.758259)) + 0.40739375) + (0.075429544 / (((2.0100765 * -2.3686872) + X) / -0.6909162)))"
19,0.046030376,"(((2.1305487 ^ (X - 2.1898117)) + 0.40012875) - (-0.14851557 * ((0.40012875 + (0.18250221 / (X - 2.1898117))) + X)))"
