Complexity,Loss,Equation
1,2.7275,"X"
3,1.0062358,"(1.6364932 ^ X)"
5,0.17476737,"(1.9207354 ^ (X + -1.4718373))"
7,0.07332395,"((2.0055432 ^ (X + -1.7842209)) + 0.42065677)"
11,0.06640859,"((2.058878 ^ (X + -1.9710878)) + (0.45104656 - (-0.069129825 * X)))"
13,0.052570783,"(((1.9784248 ^ (X + -1.7123394)) + 0.33782098) - (-0.009697051 * (-1.7123394 ^ X)))"
15,0.048583984,"(((1.9784248 ^ (X + -1.7130647)) + 0.40154797) - (-0.009697051 * ((-1.7123394 ^ X) - X)))"
17,0.045317523,"(((1.9784248 ^ (X + -1.7130647)) + 0.40154797) - (-0.009697051 * ((-1.7123394 ^ X) - (0.05474005 ^ X))))"
19,0.028347787,"(((1.9784248 ^ (X + -1.7130647)) + 0.40154797) - (-0.009697051 * (((-1.7123394 ^ X) - X) - (0.05474005 ^ X))))"
