Complexity,Loss,Equation
1,2.7275,"X"
3,1.0063156,"(1.636368 ^ X)"
5,0.17439726,"(1.9108738 ^ (X - 1.436097))"
7,0.07247557,"((1.9984953 ^ (X - 1.7618207)) + 0.40902472)"
9,0.0724747,"(((1.9984953 ^ (X - 1.7618213)) - 0.041632812) - -0.44995928)"
11,0.064126894,"((2.090927 ^ (X - 2.1273155)) + (0.4118633 * (1.2803563 ^ X)))"
13,0.054055773,"(((1.9912977 + (-0.034837265 * (-0.005057157 ^ X))) ^ (X - 1.738606)) - -0.39111075)"
15,0.0486862,"(((1.9765421 ^ (X - 1.6846772)) + (0.045231126 / ((1.9654723 - -2.880828) - X))) - -0.27953044)"
17,0.03922384,"((((1.9765421 ^ (X - 1.6846772)) + (0.045231126 / ((1.9654723 - -2.880828) - X))) - -0.27953044) + 0.022137254)"
19,0.038570933,"(((1.9765421 ^ (X - 1.6846772)) + (0.045231126 / ((1.9654723 - -2.880828) - X))) - (-0.27953044 - (0.007170671 * X)))"
