Complexity,Loss,Equation
1,2.7275,"X"
3,1.0062475,"(1.636475 ^ X)"
5,0.17426184,"(1.9102317 ^ (X + -1.4336071))"
7,0.07410088,"((1.9960996 ^ (X + -1.7560961)) + 0.40745044)"
9,0.059277255,"(0.47117126 - (-0.17715289 * ((2.1541936 ^ X) + X)))"
11,0.05457193,"(0.46664658 - (-0.18918833 * ((2.1329544 ^ X) + (X / 1.2168734))))"
13,0.054301288,"(0.46664658 - (-0.18918833 * ((2.1329544 ^ X) + ((X / 1.2168734) * 1.0047567))))"
15,0.053162776,"(0.42960855 - (-0.18177614 * ((2.1450462 ^ X) + (X + (0.14036724 ^ (1.9960996 ^ X))))))"
17,0.046280287,"(0.5487121 - (-0.18115808 * (((2.1453493 ^ X) + X) - (X / (X + (X - 0.46956387))))))"
19,0.04593313,"(0.5487121 - (-0.18115808 * (((2.1453493 ^ X) + X) - (X / (X + ((X * 1.1143582) - 0.5794044))))))"
