Complexity,Loss,Equation
1,2.7275,"X"
3,1.0061806,"(1.6365798 ^ X)"
5,0.17394876,"(1.9119065 ^ (X + -1.4392264))"
7,0.07261316,"((2.0005128 ^ (X + -1.7683239)) + 0.41240916)"
9,0.07260739,"(((2.0005128 ^ (X + -1.7683239)) + 0.42271936) + -0.010098573)"
11,0.06269557,"(((2.0694418 ^ (X + -2.0180547)) - -0.39819703) + (0.11536817 * X))"
13,0.04227262,"(((1.9912659 ^ (X + -1.7378924)) - (0.04605953 / (-4.8286843 + X))) - -0.38640726)"
15,0.03816121,"((((1.9912659 ^ (X + -1.7378924)) - (0.04605953 / (-4.8286843 + X))) - -0.38640726) ^ 1.0007637)"
17,0.03683819,"((((1.9912659 ^ (X + -1.7378924)) + ((-0.050035372 / (-4.8286843 + X)) / 1.0345334)) - -0.38640726) ^ 1.0007637)"
19,0.03664606,"((((1.9912659 ^ (X + -1.7378924)) + ((-0.050035372 / (-4.8286843 + X)) / (1.0345334 ^ 1.2242395))) - -0.38640726) ^ 1.0007637)"
