Complexity,Fitness,Equation 0
1,0.54009897,X
3,0.19924346,1.64**X
5,0.03444899,1.91**(X - 1.44)
7,0.014463941,1.99**(X - 1.74) + 0.39
9,0.0144562125,1.99**(X - 1.74) + 0.39
11,0.014398828,1.39**(X - 2.01) + 2.22**(X - 2.55)
13,0.014347753,1.42**(X - 2.05) + 2.13**(1.07*X - 2.79)
