Complexity,Fitness,Equation 0
1,0.54009897,X
3,0.19927149,1.64**X
5,0.03458144,0.382*1.92**X
7,0.014650276,2.01**(X - 1.79) + 0.424
11,0.013298344,1.41**(X - 1.85) + 2.24**(X - 2.65)
13,0.01159394,0.819*1.41**(X - 1.24) + 0.819*2.26**(X - 2.42)
