Complexity,Fitness,Equation 0
1,0.5775,y6
3,0.37125,-y5 + y6
4,0.34625,sin(y6**(-1.47))
6,0.33999997,y6 - sin(y4 + 0.362)
9,0.33624998,y4*(-y5 - 1.58) + y6 - 0.34
13,0.33499998,0.578*y3 - 0.554*y5 + sin(sin(y6**(-1.3)))
14,0.32999998,(-y5 + (y6 - sin(y4 + 0.387))**(-0.727))**(-0.00975)
