Complexity,Fitness,Equation 0
1,0.505,y6
3,0.34749997,y6 + 0.0535
5,0.33749998,-0.0598*y5 + y6
7,0.33625,-y5 + y6 + 0.734
9,0.32625,-2.11*y5 + (y6 + 0.161)**(-0.211)
13,0.325,(-4.36*y5 + (y6 + 0.291)**(-0.546))**(y5/y1)
