Complexity,Fitness,Equation 0
1,0.36374998,y6
3,0.3625,y6 + 0.0126
5,0.345,-0.317*y2 + y6
6,0.34249997,y6 + sin(y2*y3)
7,0.34124997,y2 + 0.718*y6**0.391
9,0.32625,y3*y6 - 0.128*y5 + y6
