Complexity,Fitness,Equation 0
1,0.39625,y6
3,0.36874998,y6 + 0.0401
5,0.32375,y3 + y6**1.48
8,0.31625,y6 - sin(0.0664/y5) - 0.283
11,0.315,sin((y6 - sin(0.0549/y5) - 0.189)**(-0.403))
