Complexity,Fitness,Equation 0
1,0.1899736,45.8
3,0.14429072,m1 - 12.3
5,0.09233135,19.2*m1/r
7,0.030271662,0.319*m1*m2/r
9,0.0012498114,m1 + m2 - 2.01*r - 23.2
