Complexity,Fitness,Equation 0
1,0.21109308,m1
3,0.1210871,0.786*m2
5,0.0791676,19.4*m2/r
7,0.044549927,m1 + m2 - 2.95*r
9,0.0016131,m1 + m2 - 2.0*r - 23.4
