Complexity,Fitness,Equation 0
1,0.22129245,m1
3,0.11104198,m1 - 10.9
5,0.09249862,m1 - r + 13.4
7,0.036857434,m1 + m2 - 2.96*r
9,0.0014510566,m1 + m2 - 2.01*r - 23.3
