Complexity,Fitness,Equation 0
1,0.20382251,38.5
3,0.119827345,m1 - 15.6
5,0.09758966,1.4*m2 - 1.4*r
7,0.040702514,m1 + m2 - 2.89*r
9,0.0015959888,m1 + m2 - 2.01*r - 23.2
