Complexity,Fitness,Equation 0
1,0.21234259,40.7
3,0.1516434,m2 - 13.4
5,0.11384831,1.32*m1 - 1.32*r
7,0.038833205,0.317*m1*m2/r
9,0.0014821207,m1 + m2 - 2.0*r - 23.4
