Complexity,Fitness,Equation 0
1,0.28402624,m2
3,0.13588037,m1 - 15.6
5,0.096943416,1.26*m1 - 1.26*r
7,0.03743339,0.323*m1*m2/r
9,0.0015388934,m1 + m2 - 2*r - 23.5
11,0.0015147129,m1 + m2 - 2.0*r - 23.3
