Complexity,Fitness,Equation 0
1,0.25367433,m2
3,0.13619453,m2 - 12.8
5,0.11899189,1.21*m2 - r
7,0.03406718,0.323*m1*m2/r
9,0.0016728352,m1 + m2 - 1.99*r - 23.7
