Complexity,Fitness,Equation 0
1,0.20529665,m1
3,0.10440525,m2 - 10.6
5,0.08477728,20.0*m2/r
7,0.023873717,0.325*m1*m2/r
9,0.0016553856,m1 + m2 - 2.01*r - 23.1
