Complexity,Fitness,Equation 0,Equation 1
2,2.3927052,-0.391,x0
4,0.78704023,-4.64*x0,x0
6,0.76504946,-0.341*x0*x1,-0.438
8,0.75256646,-0.346*x0*x1 + 0.203,-0.447
10,0.627072,x0*(2.59 - 0.424*x1),x0 - 1.36
12,0.4740103,-0.417*x0*(x1 - 3.85) + 0.0122,x0 - 1.25
14,0.24149571,-0.385*x0*(x1 - 3.51) + 0.0329,0.263*x0 - 1.04
16,0.23750195,-0.407*x0*x1 + 1.33*x0 + 0.0464,0.266*x0 - 1.03
