Complexity,Fitness,Equation 0,Equation 1
2,2.0603387,-0.382,x0
4,0.807508,-4.94*x0,0.718
6,0.77310586,-0.331*x0*x1,-0.355
8,0.74785686,-0.42*x0*x1,-0.884*x1
10,0.60306555,-x0*x1 + 0.725,0.234*x0 - 0.975
12,0.39768574,0.43*x0*(4.12 - x1),0.298*x0 - 0.992
14,0.045500405,-0.409*x0*x1 + x0,0.112*x1*(x0 - 4.09)
16,0.009631889,-0.402*x0*x1 + 1.11*x0,0.0998*x1*(x0 - 4.0)
