Complexity,Fitness,Equation 0,Equation 1
2,2.4864368,-0.421,-0.175
4,0.9553783,-3.9*x0,0.158
6,0.9461931,0.54 - 4.05*x0,-0.197
8,0.9361859,-0.342*x0*x1 + 0.354,-0.183
10,0.9325496,-0.303*x0*x1 + 0.16,x0 - 0.662
12,0.5460671,-0.218*x0*x1 + x0,0.356*x0 - 1.38
14,0.53755283,-0.232*x0*x1 + x0,0.365*x0 - 1.38
16,0.04173893,-0.414*x0*x1 + x0,0.279*x1*(0.408*x0 - 1.66)
18,0.040322132,-0.414*x0*x1 + x0 + 8.01e-6,0.279*x1*(0.408*x0 - 1.66)
22,0.027705295,-0.397*x0*x1 + 1.05*x0,0.256*x1*(0.405*x0 - 1.64)
24,0.014196363,-0.406*x0*x1 + 1.07*x0,0.258*x1*(0.408*x0 - 1.64)
