Complexity,Fitness,Equation 0
1,0.47899997,y
3,0.478,-0.523*pred
5,0.028999954,pred*(0.456 - y)
6,0.02349995,pred - y*log(pred)
8,0.021999955,pred - 1.07*y*log(pred)
10,0.020999953,pred - (y + 0.0514)*log(pred*y)
