Complexity,Fitness,Equation 0
1,0.48649997,pred
4,0.44849998,log(-pred + y)
5,0.037999958,pred + y/pred
6,0.035499945,exp(pred) + y/pred
7,0.027499944,pred**1.42 + y/pred
8,0.024999946,exp(pred**2) + y/pred
9,0.022499949,pred + (y + 0.00724)**2.26/pred
13,0.019999951,pred**1.26 + (y + 0.00724)**2.26/pred
