Complexity,Fitness,Equation 0
1,0.37849995,0.165
5,0.049999952,pred*(0.443 - y)
6,0.028999954,pred - log(pred*y)
7,0.02049996,6.88**(pred*(0.207 - y))
9,0.014499962,pred**2*(pred - y - 0.174)
