Complexity,Fitness,Equation 0
1,0.48399997,pred
4,0.44799998,log(pred - 0.409)
5,0.02049996,pred**((-0.631)**y)
6,0.014499962,exp(pred**((-0.387)**y))
7,0.014499947,pred**(1.72*(-0.387)**y)
8,0.01349996,2.1*exp(pred**((-0.387)**y))
9,0.012999952,pred*(pred - 1.84*y - 0.248)
