Complexity,Fitness,Equation 0
1,0.487,-0.374
3,0.478,y/pred
4,0.47149998,log(0.811 - pred)
5,0.020999953,pred + y/pred
7,0.018499956,pred + 1.01*y/pred
8,0.017499968,exp(1.03**(pred + y/pred))
11,0.015499949,pred*(-y + (pred + 0.437)*(pred - y))
13,0.014999941,pred*(-y + (pred + 0.437)*(pred - y)) - 0.434
