Complexity,Loss,Equation
1,8.232861,"49.956253"
3,5.755334,"(m1 - 10.649367)"
5,3.824677,"(m2 - (69.39212 - m1))"
7,1.9181111,"(((m1 - 46.366158) + m2) - r)"
9,0.09343287,"((((m1 - r) + m2) - 23.400837) - r)"
11,0.093316905,"(m2 - (((r + 23.31579) - (m1 * 0.9986973)) + r))"
13,0.09323044,"(m2 - ((((r + 23.40012) - m1) + r) / (1.0003561 ^ 2.1229663)))"
15,0.090596706,"(((m2 - r) - ((r - m1) + (0.083809674 / (m1 - m2)))) - 23.418541)"
17,0.08867188,"((((m1 - r) + m2) - 23.400837) - (r - (-0.062472362 / ((m2 / -1.2019818) + m1))))"
19,0.08798758,"((((m1 - r) + m2) - 23.400837) - (r - (-0.062472362 / (((m2 - -0.2549737) / -1.2019818) + m1))))"
