Complexity,Loss,Equation
1,9.107505,"47.05955"
3,6.273012,"(m1 + -15.702761)"
5,4.475076,"((m1 - r) * 1.2632542)"
7,1.7283452,"((m1 * (0.32286152 / r)) * m2)"
9,0.07104397,"((((m1 - 23.441154) + m2) - r) - r)"
11,0.06772893,"(((((m1 - 23.483858) - r) * 1.0026405) - r) + m2)"
13,0.067727916,"((((((m1 - 1.6116928e-5) - 23.483858) - r) * 1.0026405) - r) + m2)"
15,0.067280136,"(((((m1 - 23.255545) + m2) - r) + (0.5513942 / (m1 * -0.04609763))) - r)"
17,0.06718216,"(((((m1 - 23.359903) - r) - r) + m2) + (-1.7499884 / ((m1 - r) * 0.5196302)))"
19,0.062290765,"(((((m1 - 23.447071) + m2) - r) - r) - (-0.15293446 / (((1.008157 - r) * 2.3466074) + m1)))"
