Complexity,Loss,Equation
1,7.524741,"45.208168"
3,5.5950413,"(m1 + -15.721863)"
5,4.29181,"(m1 + (-75.37058 + m2))"
7,2.153216,"(((m2 + m1) - r) - 49.289394)"
9,0.07596588,"((m2 + ((m1 - r) - 23.420998)) - r)"
11,0.06816139,"((m2 + (((m1 - 23.507202) - r) * 1.0062551)) - r)"
15,0.06783219,"((m2 + (((m1 - r) - (23.563482 - (-0.10423715 * -0.59117943))) * 1.006147)) - r)"
17,0.067797214,"((m2 + (((m1 - r) - (23.563482 - ((-0.10423715 * -0.59117943) * 1.0085406))) * 1.006147)) - r)"
19,0.067783356,"((m2 + ((((m1 - r) - (0.030252732 * -0.024504248)) - (23.563482 - (-0.10423715 * -0.59117943))) * 1.006147)) - r)"
