Complexity,Loss,Equation
1,7.5531573,"45.240704"
3,5.9975567,"(m2 - 13.295351)"
5,4.6604037,"((m2 - r) * 1.3581446)"
7,1.4235386,"(((0.32210842 * m2) / r) * m1)"
9,0.09093373,"((m1 - ((r - m2) - -23.417168)) - r)"
11,0.08706169,"(((m1 - r) * 0.99506575) - ((r - m2) - -23.250427))"
13,0.08606758,"((((m1 - -0.3487255) * 0.99267393) - r) - ((r - m2) - -23.324123))"
15,0.08443184,"((m1 - (r - -0.07432548)) - ((r - m2) - (-23.754717 - (-23.754717 / m1))))"
17,0.0809714,"((m1 - r) - (((r - m2) - -23.324123) + (-1.0111367 / ((r - m2) - -23.324123))))"
19,0.08089129,"((m1 - r) - (((r - m2) - -23.324123) + (-1.0111367 / (((r - m2) - -0.24065045) - -23.324123))))"
