Complexity,Loss,Equation
1,8.0692005,"53.513138"
3,5.346397,"(m2 - 10.925228)"
5,3.8937013,"((m2 - r) / 0.7199934)"
7,2.1502283,"((m1 + m2) - (2.9408407 * r))"
9,0.084755965,"((m1 + m2) - ((2.012986 * r) + 23.106817))"
11,0.08470154,"((m1 + (m2 + 0.009825871)) - ((2.0132678 * r) + 23.109459))"
13,0.08437716,"((m2 + (m1 + (-1.8240591 / m2))) - ((2.012987 * r) + 23.075733))"
15,0.083105594,"((m1 + m2) - ((2.015294 * r) + (23.114521 - ((0.0046865367 * m1) + -0.23067968))))"
17,0.07270444,"(((m1 + m2) - ((2.0132678 * r) + 23.109459)) - ((0.24795102 ^ (m1 + r)) ^ 0.011184358))"
19,0.06987597,"(((m1 + (m2 + 0.017668111)) - ((2.0132678 * r) + 23.109459)) - ((0.24795102 ^ (m1 + r)) ^ 0.011184358))"
