Complexity,Loss,Equation
1,5.5661144,"48.750042"
3,4.3346477,"(m2 ^ 0.94639736)"
5,3.4363124,"(m2 * (19.876793 / r))"
7,2.1574936,"((m1 - 48.10764) + (m2 - r))"
9,0.07260386,"(((m1 - 23.42912) + (m2 - r)) - r)"
11,0.069768146,"((((m1 + (m2 - 23.619524)) - r) - r) ^ 1.0009843)"
13,0.06927668,"((((m1 - r) + ((m2 - 0.14246155) - 23.430637)) - r) * 1.0031168)"
15,0.06876501,"((((m1 - (23.393953 / 1.0028946)) - r) + ((m2 - r) + -0.28622648)) * 1.003861)"
17,0.06368167,"((((m1 - r) + (-0.057222642 / ((m1 - -2.1157792) - m2))) + (m2 - 23.430637)) - r)"
19,0.060547512,"((((m1 - r) + ((-0.057222642 / ((m1 - -2.1157792) - m2)) / 1.3482653)) + (m2 - 23.430637)) - r)"
