Complexity,Loss,Equation
1,8.9137,"45.901283"
3,6.0625424,"(1110.083 / r)"
5,4.328231,"(m1 * (19.18122 / r))"
7,2.4508927,"(m2 + ((-48.346947 + m1) - r))"
9,0.06138878,"(-23.421482 - (((r - m2) - m1) + r))"
11,0.056960423,"(((-23.374811 - ((r - m2) + r)) * 1.0035537) + m1)"
13,0.05626634,"(((-23.489346 - (((r - m2) + r) + -0.123671204)) * 1.0043595) + m1)"
15,0.056083042,"((((-23.500072 + 0.050009917) - ((r - m2) + (r - -0.12747933))) + m1) / 0.9965126)"
17,0.05580177,"(-23.527115 - ((r + (r - (m2 + ((m2 / r) / (r + -1.3164054))))) - m1))"
19,0.05577507,"(-23.527115 - ((r + (r - (m2 + (((m2 + -0.34355572) / r) / (r + -1.3164054))))) - m1))"
