Complexity,Loss,Equation
1,8.688379,"51.36055"
3,6.560364,"(m2 + -13.480438)"
5,4.8038735,"((m2 - 73.439865) + m1)"
7,2.2151172,"((m1 + (r * -2.9160647)) + m2)"
9,0.08063253,"(((m1 + (r * -1.9894361)) + m2) + -23.66045)"
11,0.08058325,"(((m1 + (r * (-2.139537 - -0.15032983))) + m2) + -23.666533)"
13,0.0804842,"((((m2 + m1) + (r * -1.9899782)) + -23.615807) + (-0.775185 / r))"
15,0.080295816,"((((m1 - (0.86841494 ^ (m1 - r))) + (r * -1.9894361)) + m2) + -23.66045)"
17,0.0758475,"(((m1 + ((r + (0.0094550075 / ((r + r) - m1))) * -1.989674)) + m2) + -23.66045)"
19,0.07283815,"((((m1 + (r * -1.989674)) + m2) + -23.66045) - (-0.08132827 / ((m2 + (r * -1.997377)) + -0.8225213)))"
