Complexity,Loss,Equation
1,7.938125,"47.97834"
3,6.056871,"(1151.6855 / r)"
5,4.428414,"((18.922756 * m2) / r)"
7,2.4715114,"(m2 - ((r * 2.906857) - m1))"
9,0.09106954,"(m1 - (((r * 1.9914349) - m2) - -23.670801))"
11,0.088754974,"((((m2 - r) - 23.427963) ^ 0.99924916) - (r - m1))"
13,0.08711923,"((((m2 - r) - 23.60367) * 0.99549806) - ((r - 0.20616886) - m1))"
15,0.08197149,"(((m1 - (r - (0.8322672 / (m1 / 23.60367)))) - 23.795141) - (r - m2))"
17,0.08157978,"((((m1 - (r - ((0.8322672 * 23.795141) / m1))) - 23.795141) + -0.01007522) - (r - m2))"
19,0.07846775,"((m2 - -0.95987856) - ((r - ((((m1 - -0.47667637) * 0.9906269) - (1.2090107 ^ 0.44553804)) - r)) - -23.252153))"
